公司,站代號,刷卡自助,GoStation,洗車類別,無鉛92,無鉛95,無鉛98,超柴
台灣中油,CC6212C49,0,0,,1,1,1,1
台灣中油,CC6212C50,0,0,,1,1,1,1
台灣中油,CC6212C51,0,0,,1,1,0,1
台灣中油,CC6212C54,1,0,,1,1,1,1
台灣中油,CC6212C57,0,0,,1,1,1,1
台灣中油,CC6212C58,0,0,,1,1,1,1
台灣中油,CC6212C59,1,0,,1,1,1,1
台灣中油,CC6212C60,0,0,,1,1,1,1
台灣中油,CC6212C64,0,0,,1,1,1,1
台灣中油,CC6212C65,0,0,,1,1,1,1
台灣中油,CC6212C68,1,0,,1,1,1,1
台灣中油,CC6212C73,0,0,,1,1,1,1
台灣中油,CC6212C75,0,0,,1,1,1,1
台灣中油,CC6212C80,0,0,,1,1,1,1
台灣中油,CC6212C81,0,0,,0,1,0,1
台灣中油,CC6212C82,0,0,,1,1,1,0
台灣中油,CC6212C86,0,0,,1,1,1,1
台灣中油,CC6212C87,0,0,,1,1,1,1
台灣中油,CC6212C94,1,0,,1,1,1,1
台灣中油,CC6212D01,0,0,,1,1,1,1
台灣中油,CC6212D06,0,0,,1,1,1,1
台灣中油,CC6212D08,0,0,,1,1,1,1
台灣中油,CC6212D13,0,0,,1,1,0,1
台灣中油,CC6212D19,1,0,,1,1,1,1
台灣中油,CC6212D20,0,0,,1,1,0,1
台灣中油,CC6212D25,0,0,,1,1,0,1
台灣中油,CC6212D26,0,0,,1,1,1,1
台灣中油,CC6212D27,0,0,,1,1,1,1
台灣中油,CC6212D29,0,0,,1,1,1,1
台灣中油,CC6212D36,0,0,,1,1,1,1
台灣中油,CC6212D38,0,0,,1,1,1,1
台灣中油,CC6212D43,0,0,,1,1,1,1
台灣中油,CC6212D47,0,0,,1,1,1,1
台灣中油,CC6212D48,0,0,,1,1,1,1
台灣中油,CC6212D50,0,0,,1,1,1,1
台灣中油,CC6212D51,0,0,,1,1,0,1
台灣中油,CC6212D52,0,0,,1,1,1,1
台灣中油,CC6212D54,0,0,,1,1,1,1
台灣中油,CC6212D55,1,0,,1,1,1,1
台灣中油,CC6212D56,0,0,,1,1,1,1
台灣中油,CC6212D58,0,0,,1,1,1,1
台灣中油,CC6212D61,0,0,,1,1,1,1
台灣中油,CC6212D62,0,0,,1,1,1,1
台灣中油,CC6212D63,0,0,,1,1,1,1
台灣中油,CC6212D67,0,0,,1,1,1,1
台灣中油,CC6212D69,1,0,,1,1,1,1
台灣中油,CC6212D72,0,0,,1,1,1,1
台灣中油,CC6212D75,1,0,,1,1,0,1
台灣中油,CC6212D76,0,0,,1,1,0,1
台灣中油,CC6212D77,1,0,,1,1,1,1
台灣中油,CC6212D78,1,0,,1,1,1,1
台灣中油,CC6212D82,1,0,,1,1,1,1
台灣中油,CC6212D85,0,0,,1,1,1,1
台灣中油,CC6212D86,0,0,,1,1,0,1
台灣中油,CC6212D87,0,0,,1,1,1,1
台灣中油,CC6212D89,0,0,,1,1,1,1
台灣中油,CC6212D91,0,0,,1,1,1,1
台灣中油,CC6212D94,0,0,,1,1,1,1
台灣中油,CC6212D99,0,0,,1,1,0,1
台灣中油,CC6212E02,0,0,,1,1,1,1
台灣中油,CC6212E03,1,0,,1,1,0,1
台灣中油,CC6212E04,0,0,,1,1,0,1
台灣中油,CC6212E05,0,0,,1,1,1,1
台灣中油,CC6212E06,1,0,,1,1,1,1
台灣中油,CC6212E07,1,0,,1,1,1,1
台灣中油,CC6212E08,0,0,,1,1,1,1
台灣中油,CC6212E11,0,0,,1,1,1,1
台灣中油,CC6212E14,0,0,,1,1,1,1
台灣中油,CC6212E15,0,0,,1,1,1,1
台灣中油,CC6212E16,0,0,,1,1,1,1
台灣中油,CC6212E17,0,0,,1,1,0,1
台灣中油,CC6212E19,1,0,,1,1,1,1
台灣中油,CC6212E22,0,0,,1,1,1,1
台灣中油,CC6212E24,0,0,,1,1,1,1
台灣中油,CC6212E25,0,0,,1,1,1,1
台灣中油,CC6212E27,0,0,,1,1,1,1
台灣中油,CC6212E29,0,0,,1,1,1,1
台灣中油,CC6212E30,1,0,,1,1,1,1
台灣中油,CC6212E32,0,0,,1,1,1,1
台灣中油,CC6212E33,0,0,,1,1,0,1
台灣中油,CC6212E34,0,0,,1,1,1,1
台灣中油,CC6212E36,1,0,,1,1,1,1
台灣中油,CC6212E37,0,0,,1,1,1,1
台灣中油,CC6212E39,1,0,,1,1,1,1
台灣中油,CC6212E41,0,0,,1,1,1,1
台灣中油,CC6212E42,0,0,,1,1,1,1
台灣中油,CC6212E46,0,0,,1,1,1,1
